ev_id,rec_stat,approval_date,lchg_userid,lchg_date
20080122X00088,B,2008-07-30,,2020-09-25 18:06:16
20080411X00456,B,2008-05-28,,2020-09-25 18:04:02
20080125X00103,B,2008-05-28,,2020-09-25 18:07:03
20080324X00374,B,2008-04-30,,2020-09-25 18:06:16
20080210X00161,B,2009-05-06,,2020-09-25 18:07:03
20080214X00188,B,2008-02-28,,2020-09-25 18:06:16
20080210X00160,B,2008-08-28,,2020-09-25 18:07:03
20080514X00667,B,2020-03-13,andj,2024-07-11 14:55:36
20080207X00144,F,2008-02-07,,2020-09-25 18:07:50
20080129X00115,B,2008-04-30,,2020-09-25 18:06:16
20080129X00116,B,2008-03-31,,2020-09-25 18:06:16
20080205X00136,B,2008-12-24,,2020-09-25 18:04:02
20080317X00317,B,2008-03-31,,2020-09-25 18:05:31
20080305X00268,B,2008-03-31,,2020-09-25 18:04:46
20080207X00148,B,2009-01-29,,2020-09-25 18:04:02
20080212X00178,B,2008-08-28,,2020-09-25 18:04:02
20080312X00303,B,2008-03-31,broda,2024-11-05 12:31:16
20080318X00326,B,2008-03-31,,2020-09-25 18:05:31
20080211X00169,B,2010-04-22,,2020-09-25 18:07:03
20080201X00130,B,2009-02-25,,2020-09-25 18:06:16
20080211X00172,B,2011-06-27,,2020-09-25 18:04:02
20080305X00264,B,2008-03-31,,2020-09-25 18:04:02
20080330X00398,B,2010-03-23,,2020-09-25 18:07:03
20080206X00142,B,2008-12-28,,2020-09-25 18:04:46
20080211X00167,B,2008-12-24,,2020-09-25 18:06:16
20080207X00150,B,2009-02-25,,2020-09-25 18:04:02
20080306X00273,B,2008-04-30,,2020-09-25 18:04:02
20080225X00233,B,2008-03-31,,2020-09-25 18:05:31
20080229X00248,B,2008-03-31,,2020-09-25 18:07:03
20080226X00236,B,2008-03-31,,2020-09-25 18:06:16
20080211X00174,B,2008-12-24,,2020-09-25 18:06:16
20080211X00173,B,2008-07-30,,2020-09-25 18:06:16
20080226X00235,B,2008-03-31,,2020-09-25 18:06:16
20080219X00205,B,2008-05-28,,2020-09-25 18:04:46
20080211X00168,B,2008-05-28,,2020-09-25 18:05:31
20080222X00227,B,2009-01-15,,2020-09-25 18:04:46
20080326X00389,B,2008-04-30,,2020-09-25 18:04:46
20080305X00269,B,2008-03-31,,2020-09-25 18:06:16
20080211X00171,B,2008-12-28,,2020-09-25 18:05:31
20080321X00361,B,2008-03-31,,2020-09-25 18:04:02
20080222X00230,B,2008-03-31,,2020-09-25 18:04:46
20080208X00158,B,2008-06-30,,2020-09-25 18:06:16
20080319X00330,B,2008-03-31,dobn,2025-05-29 12:58:57
20080208X00159,B,2009-05-06,,2020-09-25 18:06:16
20080306X00275,B,2008-03-31,,2020-09-25 18:05:31
20080212X00177,B,2008-09-26,,2020-09-25 18:06:16
20080213X00181,B,2009-01-29,,2020-09-25 18:07:03
20080214X00195,B,2008-02-28,,2020-09-25 18:05:31
20080321X00363,B,2008-03-31,,2020-09-25 18:04:02
20080416X00494,B,2008-04-30,broda,2022-05-17 13:29:01
20080213X00184,B,2008-04-30,,2020-09-25 18:04:02
20080213X00185,B,2008-09-26,,2020-09-25 18:04:02
20080306X00276,B,2008-03-31,,2020-09-25 18:05:31
20080322X00368,B,2008-03-31,,2020-09-25 18:05:31
20080321X00362,B,2008-03-31,,2020-09-25 18:04:46
20080213X00186,B,2008-04-30,broda,2022-04-06 14:09:35
20080219X00210,B,2008-04-30,,2020-09-25 18:06:16
20080227X00239,B,2008-03-31,,2020-09-25 18:05:31
20080312X00301,B,2008-03-31,,2020-09-25 18:06:16
20080306X00278,B,2008-03-31,,2020-09-25 18:05:31
20080219X00209,B,2009-03-05,,2020-09-25 18:05:31
20080228X00244,B,2008-03-31,,2020-09-25 18:05:31
20080214X00192,F,,,2020-09-25 18:07:50
20080506X00615,F,,,2020-09-25 18:07:50
20080306X00279,B,2008-03-31,,2020-09-25 18:07:03
20080310X00292,B,2009-05-12,,2020-09-25 18:07:03
20080220X00211,B,2008-02-28,,2020-09-25 18:06:16
20080306X00277,B,2008-03-31,,2020-09-25 18:05:31
20080305X00266,B,2008-03-31,,2020-09-25 18:04:02
20080229X00249,F,,,2020-09-25 18:07:50
20080326X00388,B,2008-04-30,,2020-09-25 18:05:31
20080220X00220,B,2008-05-28,,2020-09-25 18:06:16
20080318X00325,B,2008-03-31,,2020-09-25 18:04:02
20080415X00487,B,2008-04-30,,2020-09-25 18:04:02
20080222X00228,B,2009-01-29,,2020-09-25 18:06:16
20080322X00367,B,2008-03-31,,2020-09-25 18:05:31
20080322X00365,B,2008-03-31,,2020-09-25 18:04:46
20080312X00304,B,2008-03-31,,2020-09-25 18:04:02
20080225X00234,B,2008-03-31,,2020-09-25 18:06:16
20080221X00222,B,2008-08-28,,2020-09-25 18:06:16
20080516X00689,B,2008-08-28,,2020-09-25 18:06:16
20080313X00311,B,2008-03-31,,2020-09-25 18:05:31
20080313X00312,B,2008-03-31,,2020-09-25 18:06:16
20080221X00223,B,2009-02-25,,2020-09-25 18:05:31
20080319X00338,F,,,2020-09-25 18:07:50
20080228X00246,B,2008-04-30,,2020-09-25 18:06:16
20080318X00329,B,2008-03-31,,2020-09-25 18:06:16
20080222X00229,B,2009-08-03,andj,2024-07-11 14:02:36
20080220X00214,B,2008-04-30,,2020-09-25 18:06:16
20080304X00255,B,2008-03-31,,2020-09-25 18:06:16
20080220X00221,B,2008-04-30,dobn,2025-05-29 12:54:40
20080220X00215,B,2008-12-28,grol,2020-09-25 18:05:31
20080220X00216,B,2008-08-28,,2020-09-25 18:06:16
20080222X00231,B,2008-03-31,,2020-09-25 18:04:46
20080313X00310,B,2008-03-31,dobn,2025-05-29 12:50:28
20080326X00387,B,2008-04-30,,2020-09-25 18:05:31
20080304X00260,B,2008-03-31,,2020-09-25 18:04:02
20080321X00364,B,2009-05-12,,2020-09-25 18:07:03
20080228X00243,B,2008-04-30,,2020-09-25 18:04:02
20080326X00386,B,2008-04-30,,2020-09-25 18:04:46
20080319X00337,B,2008-08-28,,2020-09-25 18:07:03
20080304X00256,F,,,2020-09-25 18:07:50
20080222X00225,F,,,2020-09-25 18:07:50
20080221X00224,B,2008-08-28,,2020-09-25 18:07:03
20081124X34243,B,2009-06-24,,2020-11-03 20:27:58
20081219X65255,B,2010-09-21,,2020-11-03 20:28:00
20080411X00460,B,2008-04-30,,2020-09-25 18:04:46
20080222X00232,B,2009-04-15,,2020-09-25 18:06:16
20080319X00336,B,2009-05-06,,2020-09-25 18:04:02
20080330X00399,B,2008-04-30,,2020-09-25 18:05:31
20080228X00245,B,2009-01-29,,2020-09-25 18:05:31
20080229X00247,B,2009-01-22,,2020-09-25 18:07:03
20080305X00267,B,2009-07-28,,2020-09-25 18:05:31
20080310X00290,B,2008-03-31,,2020-09-25 18:04:02
20080408X00440,B,2009-05-12,,2020-09-25 18:07:03
20080403X00424,B,2008-04-30,,2020-09-25 18:05:31
20080304X00254,F,,,2020-09-25 18:07:50
20080227X00237,B,2009-05-06,gibs-i,2023-07-26 18:00:03
20080227X00238,B,2008-12-28,gibs-i,2023-08-03 13:30:58
20080304X00257,B,2009-06-22,,2020-09-25 18:04:02
20080306X00280,B,2008-08-28,,2020-09-25 18:04:46
20080318X00324,B,2008-03-31,,2020-09-25 18:04:02
20080229X00253,B,2009-05-06,,2020-09-25 18:06:16
20080430X00565,B,2008-05-28,,2020-09-25 18:07:03
20080324X00370,B,2008-04-30,broda,2022-05-17 13:29:53
20080312X00305,B,2020-03-30,,2020-09-25 18:04:02
20080319X00339,F,,,2020-09-25 18:07:50
20080306X00281,B,2008-12-11,,2020-09-25 18:04:46
20080304X00258,B,2008-03-31,,2020-09-25 18:04:02
20080305X00271,B,2009-05-06,,2020-09-25 18:05:31
20080416X00495,B,2008-04-30,,2020-09-25 18:04:46
20080413X00464,B,2008-04-30,gibs-i,2023-06-12 16:42:16
20080321X00359,B,2008-03-31,,2020-09-25 18:04:46
20080307X00283,B,2009-05-12,,2020-09-25 18:04:46
20080413X00463,B,2008-04-30,dobn,2025-05-28 19:41:08
20080416X00490,B,2008-04-30,,2020-09-25 18:04:02
20080305X00263,F,,,2020-09-25 18:07:50
20080430X00566,B,2008-05-28,,2020-09-25 18:07:03
20080407X00435,B,2008-04-30,,2020-09-25 18:06:16
20080418X00518,B,2008-04-30,,2020-09-25 18:06:16
20080318X00322,B,2008-03-31,,2020-09-25 18:04:46
20080311X00297,B,2009-10-29,broda,2021-06-22 21:19:09
20080404X00430,B,2008-05-28,,2020-09-25 18:06:16
20080305X00272,B,2008-12-24,,2020-09-25 18:06:16
20080305X00265,B,2009-07-28,,2020-09-25 18:04:02
20080322X00366,B,2008-03-31,,2020-09-25 18:04:46
20080307X00284,B,2008-03-31,,2020-09-25 18:04:46
20080321X00353,B,2008-03-31,dobn,2025-05-28 19:46:58
20080414X00468,B,2008-04-30,,2020-09-25 18:04:02
20080502X00584,B,2008-05-28,,2020-09-25 18:04:02
20080306X00274,B,2008-05-28,,2020-09-25 18:05:31
20080319X00331,F,,,2020-09-25 18:07:50
20080320X00343,B,2008-03-31,dobn,2025-05-28 19:35:45
20080314X00314,B,2008-04-30,,2020-09-25 18:04:46
20080327X00392,B,2008-04-30,,2020-09-25 18:04:02
20080610X00818,B,2008-08-28,,2020-09-25 18:04:02
20080310X00289,B,2008-03-31,dobn,2025-05-28 19:51:04
20080310X00291,B,2008-03-31,,2020-09-25 18:04:46
20080509X00645,F,,,2020-09-25 18:07:50
20080404X00429,B,2008-04-30,,2020-09-25 18:06:16
20080320X00341,B,2009-06-11,,2020-09-25 18:07:03
20080325X00383,B,2008-04-30,,2020-09-25 18:05:31
20080417X00506,B,2008-04-30,,2020-09-25 18:04:02
20080518X00690,B,2008-05-28,,2020-09-25 18:04:46
20080318X00327,B,2008-03-31,,2020-09-25 18:04:46
20080311X00294,B,2008-05-28,,2020-09-25 18:04:02
20080603X00781,B,2008-06-30,,2020-09-25 18:04:46
20080409X00442,B,2008-12-24,,2020-09-25 18:07:03
20080416X00489,B,2008-04-30,,2020-09-25 18:04:46
20080403X00421,B,2008-04-30,,2020-09-25 18:05:31
20080411X00454,B,2008-04-30,,2020-09-25 18:05:31
20080317X00320,B,2009-01-29,,2020-09-25 18:07:03
20080403X00423,B,2008-04-30,,2020-09-25 18:06:16
20080317X00318,B,2008-04-30,,2020-09-25 18:06:16
20080317X00315,B,2008-07-30,,2020-09-25 18:04:02
20080317X00321,B,2008-03-31,dobn,2025-05-28 19:48:42
20080317X00316,B,2008-06-30,,2020-09-25 18:04:02
20080416X00492,B,2008-08-28,,2020-09-25 18:04:46
20080317X00319,B,2008-08-28,,2020-09-25 18:06:16
20080403X00418,B,2008-04-30,,2020-09-25 18:06:16
20080325X00384,B,2009-05-06,,2020-09-25 18:07:03
20080320X00346,B,2008-12-24,,2020-09-25 18:07:03
20080321X00352,B,2009-05-06,,2020-09-25 18:05:31
20080409X00443,F,,,2020-09-25 18:07:50
20080414X00472,B,2008-04-30,,2020-09-25 18:04:46
20080321X00349,B,2008-12-28,,2020-09-25 18:05:31
20080321X00357,B,2010-08-12,,2020-09-25 18:04:46
20080402X00413,B,2008-04-30,,2020-09-25 18:04:02
20080414X00474,B,2008-04-30,,2020-09-25 18:04:02
20080414X00470,B,2008-04-30,,2020-09-25 18:06:16
20080325X00385,B,2008-11-25,,2020-09-25 18:07:03
20080404X00431,B,2008-04-30,,2020-09-25 18:05:31
20080415X00488,B,2008-04-30,,2020-09-25 18:04:46
20080327X00391,B,2008-04-30,,2020-09-25 18:04:02
20080319X00332,B,2009-03-05,,2020-09-25 18:05:31
20080518X00691,B,2008-05-28,,2020-09-25 18:04:02
20080408X00438,B,2008-09-26,dobn,2025-05-28 19:29:50
20080320X00340,B,2008-08-28,,2020-09-25 18:04:02
20080321X00348,B,2009-10-19,,2020-09-25 18:05:31
20080425X00547,B,2008-04-30,,2020-09-25 18:05:31
20080414X00475,B,2008-04-30,,2020-09-25 18:04:46
20080321X00355,B,2008-03-31,,2020-09-25 18:04:02
20080321X00358,B,2008-03-31,,2020-09-25 18:04:46
20080324X00373,B,2008-05-28,,2020-09-25 18:04:02
20080321X00356,B,2008-03-31,,2020-09-25 18:05:31
20080324X00372,B,2008-04-30,,2020-09-25 18:04:46
20080401X00412,B,2008-04-30,,2020-09-25 18:05:31
20080418X00516,B,2008-04-30,,2020-09-25 18:04:46
20080425X00556,B,2008-04-30,,2020-09-25 18:06:16
20080401X00405,B,2008-04-30,dobn,2025-05-28 19:32:11
20080425X00557,B,2008-04-30,dobn,2025-05-28 19:30:42
20080325X00382,B,2008-08-28,,2020-09-25 18:05:31
20080319X00333,B,2008-08-28,,2020-09-25 18:07:03
20080319X00334,B,2008-04-30,,2020-09-25 18:07:03
20080319X00335,B,2008-08-28,,2020-09-25 18:05:31
20080401X00406,B,2008-04-30,,2020-09-25 18:04:46
20080417X00511,B,2009-01-29,,2020-09-25 18:07:03
20080325X00381,B,2008-08-28,,2020-09-25 18:07:03
20080411X00462,B,2008-04-30,,2020-09-25 18:06:16
20080324X00369,B,2009-03-05,,2020-09-25 18:04:02
20080331X00403,B,2008-04-30,,2020-09-25 18:05:31
20080410X00453,B,2009-05-12,,2020-09-25 18:04:46
20080418X00513,B,2008-04-30,broda,2022-05-17 13:30:37
20080328X00397,B,2008-04-30,,2020-09-25 18:06:16
20080421X00525,B,2008-04-30,,2020-09-25 18:04:02
20080512X00652,B,2008-12-24,,2020-09-25 18:07:03
20080511X00647,B,2009-08-13,,2020-09-25 18:07:03
20080414X00471,B,2008-04-30,,2020-09-25 18:06:16
20080415X00484,B,2008-04-30,,2020-09-25 18:05:31
20080422X00531,B,2008-04-30,,2020-09-25 18:05:31
20080328X00396,B,2008-04-30,,2020-09-25 18:06:16
20080521X00704,B,2008-05-28,,2020-09-25 18:04:46
20080415X00485,B,2008-04-30,,2020-09-25 18:06:16
20080408X00437,F,,,2020-09-25 18:07:50
20080416X00497,B,2008-04-30,,2020-09-25 18:06:16
20080403X00422,B,2008-04-30,,2020-09-25 18:05:31
20080509X00640,B,2020-03-18,broda,2024-07-03 16:00:36
20080403X00419,B,2008-11-10,,2020-09-25 18:04:46
20080331X00400,B,2009-05-06,,2020-09-25 18:05:31
20080331X00402,B,2008-04-30,,2020-09-25 18:04:02
20080425X00544,B,2008-04-30,,2020-09-25 18:05:31
20080331X00404,B,2008-12-24,,2020-09-25 18:07:03
20080416X00498,B,2008-04-30,,2020-09-25 18:06:16
20080403X00417,F,,,2020-09-25 18:07:50
20080430X00568,B,2009-01-29,,2020-09-25 18:04:02
20080610X00820,B,2009-04-15,,2020-09-25 18:06:16
20080404X00426,B,2010-04-22,,2020-09-25 18:04:46
20080424X00539,B,2008-04-30,,2020-09-25 18:06:16
20080416X00493,B,2008-08-28,,2020-09-25 18:06:16
20080409X00444,F,,,2020-09-25 18:07:50
20080502X00587,F,,,2020-09-25 18:07:50
20080409X00441,B,2009-01-29,,2020-09-25 18:07:03
20080518X00692,B,2008-05-28,,2020-09-25 18:04:02
20080418X00515,B,2008-04-30,,2020-09-25 18:05:31
20080402X00414,B,2008-12-24,,2020-09-25 18:06:16
20080410X00452,B,2008-04-30,,2020-09-25 18:05:31
20080403X00415,B,2008-05-28,,2020-09-25 18:05:31
20080424X00535,B,2008-04-30,,2020-09-25 18:04:46
20080403X00416,B,2008-06-30,,2020-09-25 18:04:02
20080408X00436,B,2008-05-28,,2020-09-25 18:04:46
20080509X00643,B,2008-12-24,,2020-09-25 18:04:02
20080403X00425,B,2008-08-28,,2020-09-25 18:06:16
20080804X01152,F,,,2020-09-25 18:07:50
20080404X00432,F,,,2020-09-25 18:07:50
20080408X00439,F,,,2020-09-25 18:07:50
20080407X00434,B,2008-12-11,,2020-09-25 18:04:02
20080509X00644,B,2008-12-08,,2020-09-25 18:04:02
20080409X00445,B,2008-09-26,,2020-09-25 18:04:02
20080522X00713,B,2008-05-28,,2020-09-25 18:04:02
20080404X00427,F,,,2020-09-25 18:07:50
20080505X00597,B,2010-03-23,,2020-09-25 18:07:03
20080522X00711,B,2008-05-28,,2020-09-25 18:04:02
20080421X00520,B,2008-04-30,,2020-09-25 18:04:46
20080425X00546,B,2009-10-19,,2020-09-25 18:04:46
20080407X00433,B,2008-12-24,,2020-09-25 18:04:46
20080430X00574,B,2008-05-28,,2020-09-25 18:05:31
20080430X00570,B,2008-05-28,,2020-09-25 18:06:16
20080410X00447,B,2008-08-28,,2020-09-25 18:05:31
20080722X01094,B,2008-07-30,,2020-09-25 18:05:31
20080914X01449,B,2008-09-26,,2020-09-25 18:04:02
20080515X00669,B,2008-05-28,,2020-09-25 18:06:16
20080410X00448,B,2008-08-28,,2020-09-25 18:05:31
20080422X00528,B,2009-03-05,,2020-09-25 18:04:46
20080421X00519,B,2009-06-11,,2020-09-25 18:04:46
20080411X00455,B,2008-05-28,,2020-09-25 18:04:46
20081003X41448,B,2009-06-22,,2020-09-25 18:06:16
20080809X01195,B,2008-08-28,,2021-05-12 16:54:27
20080611X00837,B,2008-06-30,,2020-09-25 18:04:02
20080410X00449,B,2009-05-06,,2020-09-25 18:06:16
20080609X00816,B,2009-04-15,,2020-09-25 18:06:16
20080411X00457,B,2008-04-30,,2020-09-25 18:04:02
20080610X00819,B,2009-04-15,,2020-09-25 18:05:31
20080415X00481,B,2008-08-28,,2020-09-25 18:07:03
20080415X00482,B,2008-08-28,,2020-09-25 18:07:03
20080421X00522,B,2008-04-30,,2020-09-25 18:07:03
20080421X00523,B,2008-04-30,,2020-09-25 18:06:16
20080606X00806,B,2008-08-28,,2020-09-25 18:06:16
20080411X00461,B,2008-04-30,broda,2022-04-06 14:10:45
20080423X00532,B,2008-04-30,,2020-09-25 18:06:16
20080414X00465,B,2008-12-08,,2020-09-25 18:05:31
20080505X00596,B,2008-05-28,,2020-09-25 18:07:03
20080416X00496,B,2009-04-15,,2020-09-25 18:05:31
20080410X00451,B,2008-04-30,,2020-09-25 18:04:46
20080410X00450,B,2008-04-30,,2020-09-25 18:04:46
20080507X00624,B,2008-05-28,,2020-09-25 18:07:03
20080414X00466,B,2008-04-30,,2020-09-25 18:06:16
20080502X00583,B,2009-01-29,,2020-09-25 18:04:02
20080617X00871,B,2008-06-30,,2020-09-25 18:05:31
20080508X00630,B,2008-05-28,,2020-09-25 18:06:16
20080429X00564,F,,,2020-09-25 18:07:50
20080414X00473,B,2009-07-28,,2020-09-25 18:04:46
20080520X00703,B,2008-05-28,,2020-09-25 18:04:46
20080414X00469,B,2009-05-06,,2020-09-25 18:04:46
20080411X00458,F,,,2020-09-25 18:07:50
20080414X00467,B,2008-08-28,,2020-09-25 18:06:16
20080417X00508,B,2009-05-06,,2020-09-25 18:07:03
20080417X00509,B,2009-05-06,,2020-09-25 18:07:03
20080417X00505,B,2009-05-06,,2020-09-25 18:04:02
20080417X00510,B,2009-05-06,,2020-09-25 18:07:03
20080513X00662,B,2008-05-28,,2020-09-25 18:06:16
20080425X00548,B,2009-05-06,,2020-09-25 18:06:16
20080430X00567,B,2008-05-28,,2020-09-25 18:06:16
20080502X00581,B,2008-05-28,,2020-09-25 18:06:16
20080528X00736,B,2008-06-30,broda,2022-04-06 14:11:59
20080417X00502,B,2008-04-30,,2020-09-25 18:04:46
20080506X00617,B,2008-05-28,,2020-09-25 18:07:03
20080416X00500,B,2008-05-28,,2020-09-25 18:05:31
20080430X00573,B,2008-05-28,gibs-i,2023-06-27 13:36:15
20080416X00499,B,2008-06-30,,2020-09-25 18:04:02
20080415X00483,B,2008-12-28,,2020-09-25 18:07:03
20080415X00486,B,2008-05-28,,2020-09-25 18:04:02
20080528X00734,B,2008-06-30,,2020-09-25 18:06:16
20080523X00717,B,2009-04-15,,2020-09-25 18:07:03
20080422X00529,B,2009-03-05,,2020-09-25 18:06:16
20080422X00530,B,2009-05-06,,2020-09-25 18:07:03
20080514X00665,B,2010-03-23,,2020-09-25 18:07:03
20080501X00578,B,2008-05-28,,2020-09-25 18:06:16
20080423X00534,B,2009-01-29,broda,2020-09-25 18:05:31
20080417X00503,B,2008-12-24,grol,2022-06-07 13:24:23
20080417X00501,B,2008-12-24,,2020-09-25 18:06:16
20080509X00646,F,,,2020-09-25 18:07:50
20080417X00507,B,2009-02-25,,2020-09-25 18:07:03
20080506X00619,B,2008-05-28,,2020-09-25 18:07:03
20080527X00733,B,2008-05-28,,2020-09-25 18:07:03
20080418X00514,B,2008-08-28,,2020-09-25 18:06:16
20080515X00681,B,2008-05-28,,2020-09-25 18:06:16
20080429X00563,B,2008-12-08,,2020-09-25 18:04:02
20080421X00524,B,2010-03-03,andj,2024-07-09 17:38:46
20080425X00550,B,2009-05-06,,2020-09-25 18:05:31
20080425X00552,B,2008-08-28,,2020-09-25 18:06:16
20080422X00526,F,,,2020-09-25 18:07:50
20080619X00883,B,2008-06-30,,2020-09-25 18:06:16
20080430X00569,B,2008-05-28,,2020-09-25 18:05:31
20080430X00571,B,2008-05-28,,2020-09-25 18:06:16
20080428X00558,B,2009-01-29,,2020-09-25 18:04:46
20080502X00585,B,2009-01-29,,2020-09-25 18:04:02
20080626X00922,B,2008-06-30,,2020-09-25 18:05:31
20080512X00650,F,,,2020-09-25 18:07:50
20080508X00632,B,2008-05-28,,2020-09-25 18:07:03
20080425X00554,B,2009-03-05,,2020-09-25 18:06:16
20080425X00555,B,2009-05-06,,2020-09-25 18:06:16
20080529X00754,B,2008-06-30,,2020-09-25 18:07:03
20080611X00830,B,2009-09-30,,2020-09-25 18:07:03
20080523X00714,B,2010-04-22,,2020-09-25 18:07:03
20080423X00533,B,2008-07-30,,2020-09-25 18:04:02
20080516X00687,B,2008-05-28,,2020-09-25 18:05:31
20080422X00527,F,,,2020-09-25 18:07:50
20080519X00697,B,2008-05-28,,2020-09-25 18:04:46
20080521X00708,B,2008-05-28,,2020-09-25 18:04:02
20080502X00586,B,2008-08-28,,2020-09-25 18:06:16
20080502X00582,B,2010-07-22,,2020-09-25 18:04:02
20080425X00549,B,2008-04-30,,2020-09-25 18:04:46
20080425X00553,B,2008-04-30,broda,2022-05-17 13:31:27
20080425X00551,B,2008-04-30,,2020-09-25 18:04:46
20080518X00693,B,2008-05-28,,2020-09-25 18:04:46
20081003X63355,B,2009-06-22,,2020-09-25 18:04:02
20080508X00634,B,2008-05-28,,2020-09-25 18:07:03
20080428X00559,B,2009-05-06,,2020-09-25 18:06:16
20080521X00706,B,2008-12-24,,2020-09-25 18:07:03
20080610X00817,B,2008-06-30,,2020-09-25 18:05:31
20080506X00620,B,2008-05-28,,2020-09-25 18:06:16
20080516X00686,B,2008-05-28,,2020-09-25 18:05:31
20080424X00536,B,2008-12-24,,2020-09-25 18:06:16
20080424X00537,B,2008-12-24,,2020-09-25 18:06:16
20080505X00588,B,2009-03-05,,2020-09-25 18:07:03
20080428X00560,B,2008-12-08,,2020-09-25 18:05:31
20080528X00737,B,2008-06-30,,2020-09-25 18:04:02
20080505X00590,B,2008-05-28,,2020-09-25 18:04:02
20080625X00908,B,2008-07-30,,2020-09-25 18:04:46
20080508X00629,B,2008-09-26,,2020-09-25 18:04:46
20080507X00625,B,2008-05-28,,2020-09-25 18:07:03
20080520X00699,B,2008-05-28,,2020-09-25 18:05:31
20080513X00659,B,2010-08-12,,2020-09-25 18:04:46
20080429X00561,B,2008-12-28,,2020-09-25 18:06:16
20080429X00562,B,2008-08-28,,2020-09-25 18:05:31
20080520X00700,B,2008-05-28,gibs-i,2023-06-14 14:06:51
20080529X00753,B,2008-06-30,,2020-09-25 18:06:16
20080505X00589,B,2008-12-03,gibs-i,2023-08-03 13:41:25
20080508X00627,B,2008-05-28,,2020-09-25 18:05:31
20080613X00850,B,2009-06-22,,2020-09-25 18:07:03
20080514X00666,B,2008-05-28,,2020-09-25 18:06:16
20080505X00593,F,,,2020-09-25 18:07:50
20080501X00575,B,2008-08-28,,2020-09-25 18:05:31
20080501X00577,B,2009-01-29,,2020-09-25 18:04:02
20080511X00648,F,,,2020-09-25 18:07:50
20080505X00592,B,2008-12-28,,2020-09-25 18:04:02
20080430X00572,B,2009-03-05,,2020-09-25 18:04:02
20080515X00682,B,2008-05-28,,2020-09-25 18:04:46
20080514X00664,B,2008-05-28,dobn,2025-05-28 19:26:13
20080501X00576,B,2008-07-30,,2020-09-25 18:06:16
